Trial ,ID,Sex,Light,Age,EntryZone_nose_freq,Entry_latency,Goal Box 0 Goal Box / Center0point 0 Frequency,Goal Box 0 Goal Box / Center0point 0 Latency to First (s),Target visit errors 0 Nose0point / Total errors 0 Frequency,Quadrants 0 Q1 / Center0point 0 Cumulative Duration (%),Quadrants 0 Q2 / Center0point 0 Q2 / Center0point (%),Quadrants 0 Q3 / Center0point 0 Cumulative Duration (%),Quadrants 0 Q4 / Center0point 0 Q4 / Center0point (%),DistanceMoved_cm
2,97,2,2,3,1,7.3,1,8.8,2,9.72,4.17,0,30.56,384.01
3,97,2,2,3,2,0.9,1,2,1,5.26,1.97,1.32,26.97,239.4
4,97,2,2,3,2,28.7,1,37.9,3,4.77,10.73,4.94,50.77,628.71
5,97,2,2,3,4,26,1,33.1,7,23.03,0.45,15.3,17.42,566.93
6,97,2,2,3,5,14.1,0,-,8,19.75,19.97,19.3,31.67,1630.14
1,98,2,2,3,1,68.9,1,72.1,9,10.53,4.32,53.66,21.84,858.69
2,98,2,2,3,1,21.5,1,22.1,2,11.33,20.22,6,23.11,487.57
3,98,2,2,3,3,41,1,43.6,11,40,15.3,15,11.52,683
4,98,2,2,3,2,27.1,1,35.6,11,15.81,13.97,5.15,37.32,963.55
5,98,2,2,3,3,6.8,1,10.1,0,9.57,2.97,1.98,34.65,381.86
6,98,2,2,3,4,7.4,0,-,31,15.76,20.73,28.4,26.4,1718.85
1,99,1,2,3,3,43.7,1,49.2,13,1.39,0.56,57.78,14.31,615.89
2,99,1,2,3,3,11.6,1,14,5,0.28,3.61,22.78,24.17,321.12
3,99,1,2,3,1,12.5,1,13,1,2.52,1.4,0.28,44.26,250.17
4,99,1,2,3,5,16.2,1,32.4,6,13.55,19.92,13.94,36.06,495.21
5,99,1,2,3,3,18.1,1,22,9,10.12,17.04,14.32,23.7,674.3
6,99,1,2,3,7,8.8,0,-,30,9.27,22.63,25.22,36.49,1826.67
1,100,1,1,3,1,38.2,1,39.9,10,15.67,0.17,57,13.83,364.64
2,100,1,1,3,0,-,0,-,0,100,0,0,0,9.52
3,100,1,1,3,1,17,1,17.3,1,11.44,25.51,4.99,29.03,403.03
4,100,1,1,3,1,5,1,5.2,0,3.56,1.58,0.4,31.23,296.98
5,100,1,1,3,1,22.7,1,22.8,8,16.16,17.69,11.35,16.38,506.24
6,100,1,1,3,11,2.6,0,-,30,24.11,11.7,16.68,46.74,2042.18
